user_id,total_tweets,suspended
9.75904384608539e+17,1,0
9.75748981220364e+17,1,0
9.75133060638347e+17,1,0
9.75132832291959e+17,1,0
9.74355525398925e+17,1,0
9.74219436377899e+17,1,0
9.73880613857055e+17,1,0
9.73698495965254e+17,1,0
9.73689689449251e+17,1,0
9.73597567563911e+17,1,0
9.73263354012848e+17,1,0
9.72579278645641e+17,1,0
9.72564252442558e+17,1,0
9.72527426713653e+17,1,0
9.7249622159086e+17,1,0
9.72057693560111e+17,1,0
9.71845487765705e+17,1,0
9.71789715526398e+17,1,0
9.78810962621874e+17,1,0
9.89210476260229e+17,1,0
9.79165011925926e+17,1,0
9.79726073469587e+17,1,0
9.88817544105558e+17,1,0
9.88807767031886e+17,1,0
9.88601164785635e+17,1,0
9.88563394801426e+17,1,0
9.88376426444394e+17,1,1
9.88049977355235e+17,1,0
9.87687195212333e+17,1,0
9.86604148362809e+17,1,0
9.86232040021549e+17,1,0
9.86066565333471e+17,1,0
9.85567113300525e+17,1,0
9.8525704793036e+17,1,0
9.8521231613945e+17,1,0
9.85187586552496e+17,1,0
9.84913752670777e+17,1,0
9.84645251267813e+17,1,0
9.84634908394963e+17,1,0
9.84235269032501e+17,1,0
9.84171897888928e+17,1,0
9.83687538991948e+17,1,0
9.83088848203809e+17,1,0
9.8265492434858e+17,1,0
9.8260314974269e+17,1,0
9.82331672132706e+17,1,0
9.82156841659482e+17,1,0
9.8091504684177e+17,1,0
9.80426530898751e+17,1,0
9.80222160626176e+17,1,0
9.79870450577687e+17,1,0
9.79414839700292e+17,1,0
1.00891466269016e+18,1,0
9.41746818441888e+17,1,0
9.41327543206121e+17,1,0
9.06185328523964e+17,1,0
9.06055916079985e+17,1,0
9.05952434945655e+17,1,0
9.05489226153775e+17,1,0
9.05473383470469e+17,1,0
9.04693932122046e+17,1,0
9.04351845769896e+17,1,0
9.04206913889554e+17,1,0
9.04135886098575e+17,1,0
9.03740589358936e+17,1,0
9.03275288016114e+17,1,0
9.03207823919669e+17,1,0
9.03107726104027e+17,1,0
9.06639309918282e+17,1,0
9.02714436032487e+17,1,0
9.02481418705486e+17,1,0
9.02191307099173e+17,1,0
9.01677765883159e+17,1,0
9.01305175171768e+17,1,0
9.01130763302785e+17,1,0
9.00407945782993e+17,1,0
8.99292015057404e+17,1,0
8.99265353007587e+17,1,0
8.98821075248833e+17,1,0
8.98595706449134e+17,1,0
8.98306168044622e+17,1,0
8.98184127798706e+17,1,0
8.98051452475539e+17,1,0
