user_id,tweet_id,tweet_time,suspended
72487237,1.31094885449007e+18,2020-09-29 14:25:37,0
2524077089,1.31094787009531e+18,2020-09-29 14:21:43,0
2520987949,1.31094000778029e+18,2020-09-29 13:50:28,0
1.29240640389904e+18,1.31094023917584e+18,2020-09-29 13:51:23,0
341938464,1.31094778403669e+18,2020-09-29 14:21:22,0
44983352,1.31094779001346e+18,2020-09-29 14:21:24,0
1.25802949707432e+18,1.31094884283834e+18,2020-09-29 14:25:35,0
1.21427391606927e+18,1.31095537768148e+18,2020-09-29 14:51:33,0
51827732,1.31094906919234e+18,2020-09-29 14:26:29,0
44983352,1.31094921500313e+18,2020-09-29 14:27:03,0
1.03592585936914e+18,1.31095084613855e+18,2020-09-29 14:33:32,0
2218211065,1.31095358224674e+18,2020-09-29 14:44:25,0
834253243,1.31096656311428e+18,2020-09-29 15:35:59,0
1.14646739782778e+18,1.31096175227696e+18,2020-09-29 15:16:52,0
175509003,1.31096631536509e+18,2020-09-29 15:35:00,0
1.15068882268815e+18,1.31096717893041e+18,2020-09-29 15:38:26,0
42397340,1.31096929305674e+18,2020-09-29 15:46:50,0
1.17535724630752e+18,1.31096722992053e+18,2020-09-29 15:38:38,0
1.30574961158439e+18,1.31096756745706e+18,2020-09-29 15:39:59,0
1.30574961158439e+18,1.31096753196495e+18,2020-09-29 15:39:50,0
2266239509,1.31096782903902e+18,2020-09-29 15:41:01,0
3094448425,1.31096882404945e+18,2020-09-29 15:44:58,0
1.00484551953193e+18,1.31107527863505e+18,2020-09-29 22:47:59,0
7.97510382894088e+17,1.31107757149327e+18,2020-09-29 22:57:06,0
1059080990,1.31107647499321e+18,2020-09-29 22:52:44,0
17495913,1.3110771182693e+18,2020-09-29 22:55:18,0
1.26611427702442e+18,1.3110766021267e+18,2020-09-29 22:53:15,0
9.29362212183052e+17,1.31107720832535e+18,2020-09-29 22:55:39,0
7.58042170968375e+17,1.31107741490738e+18,2020-09-29 22:56:29,0
1.16565959455268e+18,1.31107855289755e+18,2020-09-29 23:01:00,0
1.26902997177694e+18,1.31107830879746e+18,2020-09-29 23:00:02,0
1.05702925536253e+18,1.31107846009859e+18,2020-09-29 23:00:38,0
1.09127132788808e+18,1.31107847976566e+18,2020-09-29 23:00:42,0
222597346,1.31107883732588e+18,2020-09-29 23:02:08,0
8.18467340895523e+17,1.31107870034414e+18,2020-09-29 23:01:35,0
2192887524,1.31107878292577e+18,2020-09-29 23:01:55,0
1274862524,1.31107884829819e+18,2020-09-29 23:02:10,0
8.18467340895523e+17,1.3110789096566e+18,2020-09-29 23:02:25,0
1.2271227115221e+18,1.31107908949574e+18,2020-09-29 23:03:08,0
1.30948771985751e+18,1.31107903009185e+18,2020-09-29 23:02:54,0
1.15403335699421e+18,1.31107925213407e+18,2020-09-29 23:03:47,0
2877805980,1.31107937737588e+18,2020-09-29 23:04:16,0
7.58042170968375e+17,1.31108004152305e+18,2020-09-29 23:06:55,0
